Seed,Team,Seed.1,Team.1
11,Rutgers,11,Notre Dame
16,Wright State,16,Bryant
16,Texas Southern,16,Texas A&M-CC
12,Wyoming,12,Indiana
1,Gonzaga,16,Georgia State
8,Boise State,9,Memphis
5,UConn,12,New Mexico State
4,Arkansas,13,Vermont
6,Alabama,0,
3,Texas Tech,14,Montana State
7,Michigan State,10,Davidson
2,Duke,15,CSU Fullerton
1,Baylor,16,Norfolk State
8,North Carolina,9,Marquette
5,Saint Mary's,0,
4,UCLA,13,Akron
6,Texas,11,Virginia Tech
3,Purdue,14,Yale
7,Murray State,10,San Francisco
2,Kentucky,15,Saint Peter's
1,Arizona,0,
8,Seton Hall,9,TCU
5,Houston,12,UAB
4,Illinois,13,Chattanooga
6,Colorado State,11,Michigan
3,Tennessee,14,Longwood
7,Ohio State,10,Loyola Chicago
2,Villanova,15,Delaware
1,Kansas,0,
8,San Diego State,9,Creighton
5,Iowa,12,Richmond
4,Providence,13,South Dakota State
6,LSU,11,Iowa State
3,Wisconsin,14,Colgate
7,USC,10,Miami
2,Auburn,15,Jacksonville State
