Seed,Team,Seed.1,Team.1
16,Prairie View A&M,16,Lehigh
16,UMBC,16,Howard
11,Miami (OH),11,SMU
11,Texas,11,NC State
1,Duke,16,Siena
8,Ohio State,9,TCU
5,St. John's (NY),12,Northern Iowa
4,Kansas,13,California Baptist
6,Louisville,11,South Florida
3,Michigan State,14,North Dakota State
7,UCLA,10,UCF
2,UConn,15,Furman
1,Florida,0,
8,Clemson,9,Iowa
5,Vanderbilt,12,McNeese
4,Nebraska,13,Troy
6,UNC,11,VCU
3,Illinois,14,Penn
7,Saint Mary's,10,Texas A&M
2,Houston,15,Idaho
1,Michigan,0,
8,Georgia,9,Saint Louis
5,Texas Tech,12,Akron
4,Alabama,13,Hofstra
6,Tennessee,0,
3,Virginia,14,Wright State
7,Kentucky,10,Santa Clara
2,Iowa State,15,Tennessee State
1,Arizona,16,LIU
8,Villanova,9,Utah State
5,Wisconsin,12,High Point
4,Arkansas,13,Hawaii
6,BYU,0,
3,Gonzaga,14,Kennesaw State
7,Miami (FL),10,Missouri
2,Purdue,15,Queens (NC)
